name,price,quantity,description,status,photo
Pineapple cake,10.50,12,Moist and fresh,active,pineapple_cake.jpg
Flan,5.95,20,Homemade and floppy,active,
Pistachio ice cream,5.99,12,A pint of awesome,active,
Baklava,3.50,40,Traditional pastry,active,
Lemon ice cream cake,9.95,15,Refreshing,active,
Chocolate chip cookies,6.50,100,Better than girl scout,active
Cheesecake,7.50,15,Creamy goodness,active,
Apple pie,6.60,20,Homemade freshness,active,
German chocolate cake,9.99,5,Delicious,active
Fruit bouquet,15,4,Great for sharing,active
